compound,normalized,n_sources,sources,l1000cds2_score,l1000cds2_n,enrichr_best_score,enrichr_n,clue_avg_norm_cs,clue_min_norm_cs,clue_max_fdr,clue_n,clue_n_sigs,clue_reversal,best_pval,moa,target,n_entries
lodoxamide,lodoxamide,1,clue.io,,0,,0,-0.12696153846153846,-1.3433,15.6536,1,13,True,1.0,Histamine receptor antagonist,,1
AKR1C2,akr1c2,1,clue.io,,0,,0,-0.1267046511627907,-1.7229,15.6536,1,129,True,1.0,,,1
CEP83,cep83,1,clue.io,,0,,0,-0.12668333333333337,-1.3169,15.6536,1,18,True,1.0,,,1
ZNF831,znf831,1,clue.io,,0,,0,-0.12648333333333334,-1.097,3.1346,1,18,True,1.0,,,1
apigenin,apigenin,1,clue.io,,0,,0,-0.12645555555555557,-1.2763,15.6536,1,27,True,1.0,Casein kinase inhibitor|Cell proliferation inhibitor|Cytochrome P450 inhibitor,CYP1A2|MAOA|ODC1|XDH|AKR1B1|AR|CDK6|CFTR|CYP19A1|CYP1B1|HSD17B1,1
AM-630,am630,1,clue.io,,0,,0,-0.12616923076923078,-1.1444,2.9314,1,13,True,1.0,Cannabinoid receptor antagonist,CNR2|CNR1,1
flumetasone,flumetasone,1,clue.io,,0,,0,-0.12611666666666668,-1.3017,15.6536,1,24,True,1.0,Glucocorticoid receptor agonist,NR3C1|PLA2G1B,1
PSMD8,psmd8,1,clue.io,,0,,0,-0.12605757575757576,-1.38,15.6536,1,33,True,1.0,,,1
PG-9,pg9,1,clue.io,,0,,0,-0.12586428571428573,-1.3504,15.6536,1,14,True,1.0,Acetylcholine receptor agonist,,1
STAT-5-INHIBITOR,stat5inhibitor,1,clue.io,,0,,0,-0.12580000000000002,-1.066,1.8193,1,2,True,1.0,,,1
ARHGEF3,arhgef3,1,clue.io,,0,,0,-0.12533181818181816,-1.4946,15.6536,1,22,True,1.0,,,1
gabazine,gabazine,1,clue.io,,0,,0,-0.12532857142857143,-1.2866,15.6536,1,21,True,1.0,GABA receptor antagonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRG2,1
SPTA1,spta1,1,clue.io,,0,,0,-0.12532000000000001,-1.3818,15.6536,1,20,True,1.0,,,1
biochanin-a,biochanina,1,clue.io,,0,,0,-0.12527500000000003,-1.1505,3.0993,1,12,True,1.0,Estrogen receptor agonist,,1
dazmegrel,dazmegrel,1,clue.io,,0,,0,-0.12522857142857144,-0.9949,1.2832,1,7,True,1.0,Thromboxane synthase inhibitor,TBXAS1,1
KU-C103420N,kuc103420n,1,clue.io,,0,,0,-0.125075,-1.1878,15.6536,1,8,True,1.0,,,1
KCNQ4,kcnq4,1,clue.io,,0,,0,-0.1250529411764706,-1.5173,15.6536,1,17,True,1.0,,,1
ST-013960,st013960,1,clue.io,,0,,0,-0.1249076923076923,-1.1475,3.0063,1,13,True,1.0,,,1
PXMP2,pxmp2,1,clue.io,,0,,0,-0.12489772727272727,-1.3368,15.6536,1,44,True,1.0,,,1
CHUK,chuk,1,clue.io,,0,,0,-0.12456883116883116,-1.528,15.6536,1,77,True,1.0,,,1
SA-424577,sa424577,1,clue.io,,0,,0,-0.12443333333333333,-1.2459,15.6536,1,9,True,1.0,,,1
THRA,thra,1,clue.io,,0,,0,-0.12415714285714288,-1.0823,3.0953,1,21,True,1.0,,,1
HUWE1,huwe1,1,clue.io,,0,,0,-0.12406999999999999,-1.5851,15.6536,1,20,True,1.0,,,1
TRIB3,trib3,1,clue.io,,0,,0,-0.12368076923076923,-1.4812,15.6536,1,78,True,1.0,,,1
fraxetin,fraxetin,1,clue.io,,0,,0,-0.12360000000000002,-1.1318,3.0575,1,13,True,1.0,Antioxidant,,1
CBB-1007,cbb1007,1,clue.io,,0,,0,-0.123575,-1.086,3.1376,1,8,True,1.0,,,1
CDK17,cdk17,1,clue.io,,0,,0,-0.12345161290322579,-1.3352,15.6536,1,31,True,1.0,,,1
PF-3644022,pf3644022,1,clue.io,,0,,0,-0.12340000000000007,-1.0353,1.5683,1,2,True,1.0,,,1
PLXNB1,plxnb1,1,clue.io,,0,,0,-0.12306956521739132,-1.268,15.6536,1,23,True,1.0,,,1
TFF2,tff2,1,clue.io,,0,,0,-0.12293015873015874,-1.5564,15.6536,1,63,True,1.0,,,1
ampicillin,ampicillin,1,clue.io,,0,,0,-0.12283636363636363,-1.0627,3.0733,1,11,True,1.0,Bacterial cell wall synthesis inhibitor,,1
ML-130,ml130,1,clue.io,,0,,0,-0.12281999999999997,-1.1055,2.4738,1,10,True,1.0,NOD1 inhibitor,,1
isogedunin,isogedunin,1,clue.io,,0,,0,-0.12278750000000002,-1.2854,15.6536,1,8,True,1.0,HSP inhibitor,,1
PROZ,proz,1,clue.io,,0,,0,-0.12276896551724137,-1.3966,15.6536,1,29,True,1.0,,,1
CAND2,cand2,1,clue.io,,0,,0,-0.122653125,-1.2653,15.6536,1,32,True,1.0,,,1
LPP-AS2,lppas2,1,clue.io,,0,,0,-0.122525,-1.1375,2.8532,1,4,True,1.0,,,1
LY-215490,ly215490,1,clue.io,,0,,0,-0.1224642857142857,-1.0981,3.0965,1,14,True,1.0,Glutamate receptor antagonist,GRIA1|GRIA2|GRIA3|GRIA4|GRIK1,1
SMS,sms,1,clue.io,,0,,0,-0.12226999999999999,-1.4477,15.6536,1,40,True,1.0,,,1
GALNT3,galnt3,1,clue.io,,0,,0,-0.1221421052631579,-1.2034,15.6536,1,19,True,1.0,,,1
SA-1939891,sa1939891,1,clue.io,,0,,0,-0.12205000000000005,-0.9835,1.1981,1,2,True,1.0,,,1
S1PR3,s1pr3,1,clue.io,,0,,0,-0.12203666666666665,-1.3181,15.6536,1,60,True,1.0,,,1
sobetirome,sobetirome,1,clue.io,,0,,0,-0.12197142857142855,-1.1038,2.8597,1,14,True,1.0,Thyroid hormone inhibitor,THRB|THRA,1
acarbose,acarbose,1,clue.io,,0,,0,-0.12195555555555554,-1.2946,15.6536,1,36,True,1.0,Glucosidase inhibitor,GAA|MGAM|AMY2A|SI,1
pempidine,pempidine,1,clue.io,,0,,0,-0.12184999999999996,-1.134,2.8231,1,2,True,1.0,Ganglionic blocker,,1
ADAM10,adam10,1,clue.io,,0,,0,-0.12178833333333333,-1.3064,15.6536,1,60,True,1.0,,,1
GPR133,gpr133,1,clue.io,,0,,0,-0.12173235294117649,-1.3533,15.6536,1,34,True,1.0,,,1
mepireserpate,mepireserpate,1,clue.io,,0,,0,-0.12159999999999999,-1.127,3.1173,1,8,True,1.0,Catechol O methyltransferase inhibitor,SLC18A2|SLC18A1,1
SELENOI,selenoi,1,clue.io,,0,,0,-0.12141111111111111,-1.4444,15.6536,1,18,True,1.0,,,1
C1GALT1C1,c1galt1c1,1,clue.io,,0,,0,-0.12129444444444444,-1.4279,15.6536,1,18,True,1.0,,,1
CTRC,ctrc,1,clue.io,,0,,0,-0.12127000000000002,-1.066,3.1038,1,20,True,1.0,,,1
ABCF3,abcf3,1,clue.io,,0,,0,-0.121225,-1.4594,15.6536,1,52,True,1.0,,,1
tacalcitol,tacalcitol,1,clue.io,,0,,0,-0.12115384615384615,-1.2909,15.6536,1,13,True,1.0,Vitamin D receptor agonist,VDR,1
(AK097618),ak097618,1,clue.io,,0,,0,-0.12103333333333333,-0.996,1.284,1,3,True,1.0,,,1
beta-CCP,betaccp,1,clue.io,,0,,0,-0.12097692307692309,-1.1865,15.6536,1,13,True,1.0,"Indoleamine 2,3-dioxygenase inhibitor",,1
MEF2D,mef2d,1,clue.io,,0,,0,-0.12092999999999998,-1.0792,3.2218,1,20,True,1.0,,,1
melatonin,melatonin,1,clue.io,,0,,0,-0.12088125,-1.3661,15.6536,1,16,True,1.0,Melatonin receptor agonist|Nitric oxide synthase inhibitor,MTNR1A|MTNR1B|TH|ASMT|CALM1|CALR|EPX|ESR1|HTR2B|MPO|NQO2|RORB,1
NBDY,nbdy,1,clue.io,,0,,0,-0.12087499999999998,-1.257,15.6536,1,4,True,1.0,,,1
TUBE1,tube1,1,clue.io,,0,,0,-0.12086666666666668,-1.409,15.6536,1,18,True,1.0,,,1
RAD50,rad50,1,clue.io,,0,,0,-0.12079833333333335,-1.5192,15.6536,1,60,True,1.0,,,1
IGFBP7,igfbp7,1,clue.io,,0,,0,-0.12072363636363637,-1.2606,15.6536,1,55,True,1.0,,,1
RBBP4,rbbp4,1,clue.io,,0,,0,-0.1207173076923077,-1.2768,15.6536,1,52,True,1.0,,,1
HDAC7,hdac7,1,clue.io,,0,,0,-0.1205842105263158,-1.4245,15.6536,1,76,True,1.0,,,1
GSTA5,gsta5,1,clue.io,,0,,0,-0.12050000000000001,-1.2925,15.6536,1,20,True,1.0,,,1
lirimilast,lirimilast,1,clue.io,,0,,0,-0.12044166666666667,-1.1341,3.0726,1,12,True,1.0,Phosphodiesterase inhibitor,,1
ELFN1-AS1,elfn1as1,1,clue.io,,0,,0,-0.1203,-1.0701,2.3368,1,8,True,1.0,,,1
CKB,ckb,1,clue.io,,0,,0,-0.12028955223880597,-1.4756,15.6536,1,67,True,1.0,,,1
CB-10-277,cb10277,1,clue.io,,0,,0,-0.1202,-1.0626,1.7471,1,13,True,1.0,DNA inhibitor|DNA synthesis inhibitor,,1
FNTA,fnta,1,clue.io,,0,,0,-0.12019000000000002,-1.4055,15.6536,1,20,True,1.0,,,1
isobutyraldehyde,isobutyraldehyde,1,clue.io,,0,,0,-0.11980000000000002,-1.1492,3.0571,1,2,True,1.0,,,1
pidotimod,pidotimod,1,clue.io,,0,,0,-0.11978888888888889,-1.3243,15.6536,1,9,True,1.0,Interferon inducer|Interleukin receptor agonist,,1
valaciclovir,valaciclovir,1,clue.io,,0,,0,-0.11961250000000001,-1.1714,15.3525,1,8,True,1.0,DNA inhibitor,,1
methyllycaconitine,methyllycaconitine,1,clue.io,,0,,0,-0.11960833333333333,-1.1879,15.6536,1,12,True,1.0,,,1
TPRKB,tprkb,1,clue.io,,0,,0,-0.11954,-1.3523,15.6536,1,55,True,1.0,,,1
anacetrapib,anacetrapib,1,clue.io,,0,,0,-0.11951428571428571,-0.8366,0.3873,1,7,True,1.0,Cholesterol inhibitor,CETP,1
TMEM174,tmem174,1,clue.io,,0,,0,-0.11944,-1.3649,15.6536,1,45,True,1.0,,,1
EPS8,eps8,1,clue.io,,0,,0,-0.11941714285714287,-1.3905,15.6536,1,35,True,1.0,,,1
CUL2,cul2,1,clue.io,,0,,0,-0.119165625,-1.5889,15.6536,1,64,True,1.0,,,1
ALOX15,alox15,1,clue.io,,0,,0,-0.11909500000000002,-1.3797,15.6536,1,20,True,1.0,,,1
minaprine,minaprine,1,clue.io,,0,,0,-0.11900666666666666,-1.0835,2.4003,1,15,True,1.0,Serotonin receptor antagonist,SLC6A4|HTR2B|ACHE|CHRM1|DRD1|DRD2|HTR2A|HTR2C|MAOA,1
SREBF1,srebf1,1,clue.io,,0,,0,-0.11893461538461539,-1.5057,15.6536,1,52,True,1.0,,,1
resatorvid,resatorvid,1,clue.io,,0,,0,-0.11890416666666669,-1.3553,15.6536,1,24,True,1.0,TLR antagonist,TLR4,1
BL-074,bl074,1,clue.io,,0,,0,-0.11886923076923075,-1.2604,15.6536,1,13,True,1.0,,,1
MRGPRX1,mrgprx1,1,clue.io,,0,,0,-0.11883673469387757,-1.4104,15.6536,1,49,True,1.0,,,1
SLC2A3,slc2a3,1,clue.io,,0,,0,-0.11881666666666668,-1.3534,15.6536,1,24,True,1.0,,,1
NNT,nnt,1,clue.io,,0,,0,-0.11877037037037037,-1.3816,15.6536,1,81,True,1.0,,,1
cinacalcet,cinacalcet,1,clue.io,,0,,0,-0.11859285714285714,-1.2024,15.6536,1,14,True,1.0,Calcium channel activator,CASR,1
SLC52A2,slc52a2,1,clue.io,,0,,0,-0.11847368421052633,-1.4252,15.6536,1,19,True,1.0,,,1
etanidazole,etanidazole,1,clue.io,,0,,0,-0.1181357142857143,-1.1263,3.1144,1,14,True,1.0,Bacterial cell wall synthesis inhibitor,,1
PRKAR2B,prkar2b,1,clue.io,,0,,0,-0.1180546875,-1.4529,15.6536,1,64,True,1.0,,,1
levalbuterol,levalbuterol,1,clue.io,,0,,0,-0.11801111111111112,-1.298,15.6536,1,9,True,1.0,Adrenergic receptor agonist,ADRB2,1
MW-STK33-4A,mwstk334a,1,clue.io,,0,,0,-0.11795384615384615,-1.1598,3.8211,1,13,True,1.0,,,1
VPREB1,vpreb1,1,clue.io,,0,,0,-0.11794999999999997,-1.3786,15.6536,1,20,True,1.0,,,1
PNCK,pnck,1,clue.io,,0,,0,-0.11785000000000001,-1.123,2.4466,1,24,True,1.0,,,1
ZNF444,znf444,1,clue.io,,0,,0,-0.1177375,-1.5642,15.6536,1,32,True,1.0,,,1
LRRC15,lrrc15,1,clue.io,,0,,0,-0.11757,-1.2345,15.6536,1,20,True,1.0,,,1
IL10,il10,1,clue.io,,0,,0,-0.11755466666666665,-1.488,15.6536,1,75,True,1.0,,,1
CL-82198,cl82198,1,clue.io,,0,,0,-0.11752142857142858,-1.1154,3.1732,1,14,True,1.0,Metalloproteinase inhibitor,MMP13,1
KIF5B,kif5b,1,clue.io,,0,,0,-0.11750555555555556,-1.1937,15.6536,1,36,True,1.0,,,1
GSTM4,gstm4,1,clue.io,,0,,0,-0.11734444444444447,-1.5553,15.6536,1,18,True,1.0,,,1
AADACL2,aadacl2,1,clue.io,,0,,0,-0.11721764705882352,-1.1069,2.7612,1,17,True,1.0,,,1
EPHA3,epha3,1,clue.io,,0,,0,-0.11713157894736842,-1.3647,15.6536,1,57,True,1.0,,,1
APPBP2,appbp2,1,clue.io,,0,,0,-0.11709069767441861,-1.3703,15.6536,1,43,True,1.0,,,1
YKT6,ykt6,1,clue.io,,0,,0,-0.11700576923076923,-1.4041,15.6536,1,52,True,1.0,,,1
UCK2,uck2,1,clue.io,,0,,0,-0.11698196721311474,-1.4384,15.6536,1,61,True,1.0,,,1
CKMT2,ckmt2,1,clue.io,,0,,0,-0.11684615384615385,-1.4588,15.6536,1,26,True,1.0,,,1
ALG9,alg9,1,clue.io,,0,,0,-0.11668048780487805,-1.4113,15.6536,1,41,True,1.0,,,1
UHRF1,uhrf1,1,clue.io,,0,,0,-0.11660476190476189,-1.2257,15.6536,1,21,True,1.0,,,1
MBD6,mbd6,1,clue.io,,0,,0,-0.11659464285714287,-1.5589,15.6536,1,56,True,1.0,,,1
ARSI,arsi,1,clue.io,,0,,0,-0.11650000000000005,-0.932,0.8274,1,2,True,1.0,,,1
GR-89696,gr89696,1,clue.io,,0,,0,-0.11645000000000001,-1.0932,3.1034,1,14,True,1.0,Opioid receptor agonist,OPRK1,1
CAMK1D,camk1d,1,clue.io,,0,,0,-0.1164448275862069,-1.2059,15.6536,1,29,True,1.0,,,1
SLC18A1,slc18a1,1,clue.io,,0,,0,-0.1163684210526316,-1.7676,15.6536,1,19,True,1.0,,,1
AARS,aars,1,clue.io,,0,,0,-0.1162688524590164,-1.2203,15.6536,1,61,True,1.0,,,1
NIPSNAP1,nipsnap1,1,clue.io,,0,,0,-0.11626744186046513,-1.3204,15.6536,1,43,True,1.0,,,1
PRSS8,prss8,1,clue.io,,0,,0,-0.11623333333333334,-1.2655,15.6536,1,18,True,1.0,,,1
CNR1,cnr1,1,clue.io,,0,,0,-0.11619000000000002,-1.4012,15.6536,1,20,True,1.0,,,1
trehalose,trehalose,1,clue.io,,0,,0,-0.11613999999999998,-1.3899,15.6536,1,15,True,1.0,Pharmacological chaperone,,1
CHD5,chd5,1,clue.io,,0,,0,-0.11593478260869565,-1.1329,3.1381,1,23,True,1.0,,,1
SA-424764,sa424764,1,clue.io,,0,,0,-0.11593333333333332,-0.9231,2.7899,1,6,True,1.0,,,1
TRPC7,trpc7,1,clue.io,,0,,0,-0.1158388888888889,-1.3972,15.6536,1,18,True,1.0,,,1
skimmianine,skimmianine,1,clue.io,,0,,0,-0.11583333333333334,-1.2882,15.6536,1,12,True,1.0,Acetylcholinesterase inhibitor|Furoquinoline alkaloid,,1
EMF-sumo1-2,emfsumo12,1,clue.io,,0,,0,-0.11581999999999999,-1.0638,3.2023,1,10,True,1.0,,,1
DDX58,ddx58,1,clue.io,,0,,0,-0.11576499999999998,-1.1041,3.0756,1,20,True,1.0,,,1
GABRB3,gabrb3,1,clue.io,,0,,0,-0.11576206896551725,-1.3465,15.6536,1,29,True,1.0,,,1
CD93,cd93,1,clue.io,,0,,0,-0.11568421052631579,-1.2094,15.6536,1,19,True,1.0,,,1
KDM2B,kdm2b,1,clue.io,,0,,0,-0.11525652173913044,-1.2374,15.6536,1,23,True,1.0,,,1
KGF,kgf,1,clue.io,,0,,0,-0.11518333333333332,-1.2406,15.6536,1,6,True,1.0,,,1
RSPH1,rsph1,1,clue.io,,0,,0,-0.1149108108108108,-1.3061,15.6536,1,37,True,1.0,,,1
L-655708,l655708,1,clue.io,,0,,0,-0.11490909090909093,-1.0865,2.7302,1,11,True,1.0,GABA receptor antagonist,GABRA5|GABRA1|GABRA2|GABRA3|GABRG2,1
aminoguanidine,aminoguanidine,1,clue.io,,0,,0,-0.114875,-1.0592,3.0812,1,8,True,1.0,Nitric oxide synthase inhibitor,NOS2,1
EIF2S2,eif2s2,1,clue.io,,0,,0,-0.11472857142857143,-1.2754,15.6536,1,42,True,1.0,,,1
pseudopelletierine,pseudopelletierine,1,clue.io,,0,,0,-0.11467499999999999,-1.0824,2.5017,1,12,True,1.0,Anthelmintic,,1
tiludronate,tiludronate,1,clue.io,,0,,0,-0.11466249999999999,-0.9859,1.2076,1,8,True,1.0,Bone resorption inhibitor|Osteoclast inhibitor,ATP6V1A|MMP2|PTPN1,1
levosulpiride,levosulpiride,1,clue.io,,0,,0,-0.11460000000000001,-1.1566,3.4153,1,8,True,1.0,Dopamine receptor antagonist,DRD2|DRD3|CA1|CA12|CA7,1
GUCY1A3,gucy1a3,1,clue.io,,0,,0,-0.11455789473684208,-1.276,15.6536,1,19,True,1.0,,,1
diflorasone,diflorasone,1,clue.io,,0,,0,-0.11453846153846156,-1.1145,2.3669,1,13,True,1.0,Glucocorticoid receptor agonist,NR3C1,1
TIMM9,timm9,1,clue.io,,0,,0,-0.11441764705882353,-1.3633,15.6536,1,51,True,1.0,,,1
REEP5,reep5,1,clue.io,,0,,0,-0.11414390243902439,-1.505,15.6536,1,41,True,1.0,,,1
azelaic-acid,azelaicacid,1,clue.io,,0,,0,-0.11407499999999998,-1.3408,15.6536,1,8,True,1.0,Tyrosinase inhibitor,TYR|TXNRD1|TXNRD2|AKR1D1|SRD5A2,1
SD-6-035-A4,sd6035a4,1,clue.io,,0,,0,-0.11398888888888889,-1.1349,3.1748,1,9,True,1.0,,,1
BMS-182874,bms182874,1,clue.io,,0,,0,-0.11393333333333337,-1.1624,15.3525,1,9,True,1.0,Endothelin receptor antagonist,EDNRA,1
CD300LF,cd300lf,1,clue.io,,0,,0,-0.11374500000000001,-1.4469,15.6536,1,20,True,1.0,,,1
CASK,cask,1,clue.io,,0,,0,-0.11367441860465116,-1.4465,15.6536,1,86,True,1.0,,,1
IP6K2,ip6k2,1,clue.io,,0,,0,-0.1135470588235294,-1.7342,15.6536,1,68,True,1.0,,,1
VN1R2,vn1r2,1,clue.io,,0,,0,-0.11345384615384614,-1.4319,15.6536,1,39,True,1.0,,,1
LY-2109761,ly2109761,1,clue.io,,0,,0,-0.11345,-0.9679,1.0689,1,2,True,1.0,TGF-beta receptor inhibitor,TGFBR1|TGFBR2,1
WASF3,wasf3,1,clue.io,,0,,0,-0.11341428571428573,-1.3993,15.6536,1,42,True,1.0,,,1
DNA2,dna2,1,clue.io,,0,,0,-0.11340166666666665,-1.5631,15.6536,1,60,True,1.0,,,1
RUSC1,rusc1,1,clue.io,,0,,0,-0.11339999999999999,-1.5125,15.6536,1,20,True,1.0,,,1
GPRC5C,gprc5c,1,clue.io,,0,,0,-0.11339677419354838,-1.3852,15.6536,1,62,True,1.0,,,1
vinyl-acetate,vinylacetate,1,clue.io,,0,,0,-0.11336666666666666,-1.162,15.3525,1,3,True,1.0,,,1
WAS,was,1,clue.io,,0,,0,-0.1129388888888889,-1.0802,1.9805,1,18,True,1.0,,,1
LY75-CD302,ly75cd302,1,clue.io,,0,,0,-0.11279999999999998,-1.2082,15.6536,1,19,True,1.0,,,1
TRIM69,trim69,1,clue.io,,0,,0,-0.112765,-1.0065,3.1941,1,20,True,1.0,,,1
SDZ-205-557,sdz205557,1,clue.io,,0,,0,-0.11273846153846151,-1.307,15.6536,1,13,True,1.0,Serotonin receptor antagonist,HTR4|HTR3A|HTR3B,1
MMP20,mmp20,1,clue.io,,0,,0,-0.11204117647058824,-1.2387,15.6536,1,17,True,1.0,,,1
XLOC_L2_015034,xlocl2015034,1,clue.io,,0,,0,-0.11197500000000005,-1.2717,15.6536,1,4,True,1.0,,,1
CADM3,cadm3,1,clue.io,,0,,0,-0.11188500000000001,-1.3437,15.6536,1,20,True,1.0,,,1
metformin,metformin,1,clue.io,,0,,0,-0.11188000000000001,-1.3313,15.6536,1,20,True,1.0,Insulin sensitizer,INS|ACACB|PRKAB1,1
E2F8,e2f8,1,clue.io,,0,,0,-0.11183589743589743,-1.3997,15.6536,1,39,True,1.0,,,1
LMNA,lmna,1,clue.io,,0,,0,-0.11179565217391306,-1.12,3.2182,1,46,True,1.0,,,1
ARIH1,arih1,1,clue.io,,0,,0,-0.11179545454545456,-1.2779,15.6536,1,22,True,1.0,,,1
UBR7,ubr7,1,clue.io,,0,,0,-0.11169047619047619,-1.3833,15.6536,1,42,True,1.0,,,1
ALDH1B1,aldh1b1,1,clue.io,,0,,0,-0.11160555555555557,-1.3946,15.6536,1,54,True,1.0,,,1
TERT,tert,1,clue.io,,0,,0,-0.11157499999999998,-1.603,15.6536,1,12,True,1.0,,,1
ANGPTL3,angptl3,1,clue.io,,0,,0,-0.11148,-1.0765,3.1066,1,20,True,1.0,,,1
C5AR1,c5ar1,1,clue.io,,0,,0,-0.11135000000000002,-1.3065,15.6536,1,20,True,1.0,,,1
HKDC1,hkdc1,1,clue.io,,0,,0,-0.11123461538461539,-1.1761,15.3525,1,26,True,1.0,,,1
ARHGDIB,arhgdib,1,clue.io,,0,,0,-0.11112549019607842,-1.4443,15.6536,1,51,True,1.0,,,1
ACSM2A,acsm2a,1,clue.io,,0,,0,-0.11109500000000001,-1.3057,15.6536,1,20,True,1.0,,,1
NEU2,neu2,1,clue.io,,0,,0,-0.11098333333333332,-1.382,15.6536,1,18,True,1.0,,,1
C5ORF56,c5orf56,1,clue.io,,0,,0,-0.11097499999999999,-1.1413,2.8834,1,4,True,1.0,,,1
MED12L,med12l,1,clue.io,,0,,0,-0.1109470588235294,-1.232,15.6536,1,34,True,1.0,,,1
S1PR1,s1pr1,1,clue.io,,0,,0,-0.11091000000000002,-1.4248,15.6536,1,20,True,1.0,,,1
HPN,hpn,1,clue.io,,0,,0,-0.1108603448275862,-1.693,15.6536,1,58,True,1.0,,,1
WDTC1,wdtc1,1,clue.io,,0,,0,-0.11077551020408163,-1.3045,15.6536,1,49,True,1.0,,,1
enobosarm,enobosarm,1,clue.io,,0,,0,-0.11077500000000001,-1.3672,15.6536,1,12,True,1.0,Androgen receptor antagonist,AR,1
YL-55,yl55,1,clue.io,,0,,0,-0.1106875,-0.9265,3.0775,1,8,True,1.0,,,1
LGR5,lgr5,1,clue.io,,0,,0,-0.11063559322033899,-1.3156,15.6536,1,59,True,1.0,,,1
TNC,tnc,1,clue.io,,0,,0,-0.11057894736842105,-1.3529,15.6536,1,19,True,1.0,,,1
SRPK1,srpk1,1,clue.io,,0,,0,-0.1105734375,-1.341,15.6536,1,64,True,1.0,,,1
PECR,pecr,1,clue.io,,0,,0,-0.11041944444444445,-1.5997,15.6536,1,72,True,1.0,,,1
fusaric-acid,fusaricacid,1,clue.io,,0,,0,-0.1103,-1.031,3.0443,1,12,True,1.0,Dopamine receptor antagonist,DBH,1
AQP9,aqp9,1,clue.io,,0,,0,-0.11028235294117647,-1.4473,15.6536,1,17,True,1.0,,,1
ZNRF3,znrf3,1,clue.io,,0,,0,-0.11018947368421055,-1.1761,15.3525,1,19,True,1.0,,,1
GABRA1,gabra1,1,clue.io,,0,,0,-0.11007608695652174,-1.2436,15.6536,1,46,True,1.0,,,1
MAGED1,maged1,1,clue.io,,0,,0,-0.11006964285714285,-1.4362,15.6536,1,56,True,1.0,,,1
CDKL2,cdkl2,1,clue.io,,0,,0,-0.10998461538461538,-1.3288,15.6536,1,26,True,1.0,,,1
CS-1657,cs1657,1,clue.io,,0,,0,-0.10968888888888889,-1.0742,2.3958,1,9,True,1.0,PARP inhibitor,PARP1,1
huperzine-a,huperzinea,1,clue.io,,0,,0,-0.10965,-1.3418,15.6536,1,32,True,1.0,Acetylcholinesterase inhibitor|Glutamate receptor antagonist,ACHE,1
retigabine,retigabine,1,clue.io,,0,,0,-0.10964999999999998,-1.0573,1.7169,1,12,True,1.0,Potassium channel activator,KCNQ2|KCNQ3|KCNQ4|KCNQ5|ABAT|KCNQ1,1
SLC12A7,slc12a7,1,clue.io,,0,,0,-0.1095258064516129,-1.3377,15.6536,1,31,True,1.0,,,1
PDGFBB,pdgfbb,1,clue.io,,0,,0,-0.10951666666666669,-1.1684,15.3525,1,6,True,1.0,,,1
strychnine,strychnine,1,clue.io,,0,,0,-0.10945384615384618,-1.1907,15.6536,1,13,True,1.0,Acetylcholine receptor antagonist,GLRA1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA10|CHRNA9|GLRA2|GLRA3|GLRB,1
quinidine,quinidine,1,clue.io,,0,,0,-0.1089813953488372,-1.1789,15.6536,1,43,True,1.0,Sodium channel inhibitor,SCN5A|ABCB1|CYP2D6|KCNA5|KCNA7|KCNH1|KCNH2|KCNH5|KCNK1|KCNK6|SLC29A4,1
mesoridazine,mesoridazine,1,clue.io,,0,,0,-0.10890476190476191,-1.3433,15.6536,1,21,True,1.0,Dopamine receptor antagonist,DRD2|HTR2A,1
NR1H4,nr1h4,1,clue.io,,0,,0,-0.10879285714285714,-1.3427,15.6536,1,28,True,1.0,,,1
W-9,w9,1,clue.io,,0,,0,-0.10873333333333335,-1.3183,15.6536,1,12,True,1.0,Calmodulin inhibitor,CALM2,1
EPRS,eprs,1,clue.io,,0,,0,-0.10863283582089552,-1.242,15.6536,1,67,True,1.0,,,1
tolfenamic-acid,tolfenamicacid,1,clue.io,,0,,0,-0.1085875,-1.2087,15.6536,1,16,True,1.0,Cyclooxygenase inhibitor|Leukotriene synthesis inhibitor|Prostanoid receptor antagonist|Prostanoid receptor inhibitor,,1
KCNH5,kcnh5,1,clue.io,,0,,0,-0.10852105263157895,-1.4514,15.6536,1,19,True,1.0,,,1
ELOVL6,elovl6,1,clue.io,,0,,0,-0.10849074074074075,-1.3917,15.6536,1,54,True,1.0,,,1
LRRC75A-AS1,lrrc75aas1,1,clue.io,,0,,0,-0.10847499999999999,-1.1277,2.7059,1,4,True,1.0,,,1
ANGPTL4,angptl4,1,clue.io,,0,,0,-0.10825263157894736,-1.1468,3.1083,1,19,True,1.0,,,1
benzamil,benzamil,1,clue.io,,0,,0,-0.10786296296296297,-1.3792,15.6536,1,27,True,1.0,Sodium channel inhibitor,PKD2L1|SCNN1A|SCNN1B|SCNN1G|ASIC1|SCNN1D|SLC8A1,1
fipexide,fipexide,1,clue.io,,0,,0,-0.10770000000000002,-1.0703,1.8752,1,2,True,1.0,Psychoactive drug,,1
BDNF,bdnf,1,clue.io,,0,,0,-0.10769999999999998,-1.0568,3.082,1,12,True,1.0,,,1
SA-1938421,sa1938421,1,clue.io,,0,,0,-0.10765000000000002,-1.0343,1.5643,1,2,True,1.0,,,1
LJI-308,lji308,1,clue.io,,0,,0,-0.10757272727272728,-1.1518,3.1475,1,11,True,1.0,,,1
