"","Tumor_T_osteolytic","T_naive_or_activated","Proliferating","T_resting","B_or_GerminalCenter","Endothelial","Lymphatic_endothelial","Myeloid","Fibroblast_osteolytic","NK_CTL","Other_epithelial","Keratinocyte","Apocrine_glandular","SmoothMuscle_or_pericyte","Tumor_T_proliferating"
"GSM831246",0.178946722175277,0.156019208171312,3.95963322517764e-07,0.309492296261391,3.7236619233979e-07,0.0877103003718241,0.00179320144026976,0.0318361547982121,0.000844863884628493,0.00710570008539601,6.07236918997048e-07,0.0701782516568196,0.0307926494131479,0.059894038762333,0.065385237412955
"GSM831247",0.176444210348517,0.071699021252732,6.2047247295023e-07,0.3506615308525,5.27320613088591e-07,0.102952080781724,6.01951899151166e-06,9.05856944796615e-07,0.0030854980265554,0.0111176254341124,5.16611661966276e-07,0.0748553155689579,0.0350524844690168,0.0795064094738087,0.0946172340113913
"GSM831248",0.176037744946305,0.188393927883249,4.42741062968951e-07,0.303243668116299,4.78933019205973e-07,0.109083253087604,0.000105448654525252,4.92068255137813e-07,0.000450225329214976,1.07858180524451e-06,2.60122634061984e-07,0.0696788763975142,0.0365351728792064,0.052814912439986,0.0636540178193198
"GSM831249",0.0693024108904278,2.77191800721048e-06,5.06238189432155e-07,0.344520190048914,5.36249175583105e-07,0.125872776991129,9.56215179939418e-06,0.100911627257766,0.0089933687777287,0.028154832204842,4.65515984943051e-07,0.0946020775904342,0.0463512210754715,0.0922040203262653,0.0890736327638645
"GSM831250",0.0493433748283985,1.16374337220906e-06,3.9256699314401e-06,0.471363234388117,1.44635746018767e-06,0.11022613103952,1.15214246246586e-06,0.0135594230984716,0.0133086334942243,0.0682529557494263,2.70280324728484e-06,0.0659783798625132,0.0385592854597273,0.0585920467455113,0.110806144617616
"GSM831251",0.0794465233145497,4.68046647143355e-07,0.0178922833800942,0.318293650470542,1.46495022345707e-06,0.134466692752853,7.74672122786746e-07,0.0569069531671243,0.00127604869081627,0.145725279201374,0.0050293507325745,0.0499664866096625,0.0158221974521396,0.0462442622011321,0.128927564358145
"GSM831252",0.030206780018278,1.68923276232327e-06,2.22860958039459e-06,0.563746992082008,8.26238466811503e-07,0.0959656297081653,2.18439373865573e-06,7.87324906978527e-07,0.0021485763611097,0.0495443441526232,2.78854180163455e-06,0.0760814987302874,0.0343178923543121,0.060452279249833,0.0875255030021267
"GSM831253",0.0287222735527279,1.7423883434562e-06,0.00488694969523739,0.506513391797006,0.000101796539287591,0.0994646144726126,2.27935081310395e-06,0.0112120146302322,0.00217449048455211,0.0547642004928549,1.53705169454893e-05,0.06720897737425,0.0256532884372609,0.0471839919221419,0.152094618345735
"GSM831254",0.113606266134747,0.0464714974795921,0.00876960019124105,0.313406628856965,1.94538410032282e-06,0.0810741790834634,1.26579098790262e-06,1.1053139598414e-06,0.000940095707083189,0.0502030458635985,0.00011090541837209,0.0608412265664896,0.0155340704998206,0.0454800835286357,0.263558084180944
"GSM831255",0.198079203030059,0.244785878755145,7.7106191708209e-07,0.288943345897616,2.75138294417086e-06,0.0962450692564686,1.39650521318913e-06,6.56366345650148e-07,0.00132543092070108,0.000105360867476801,7.3560664194713e-07,0.0664561070295484,0.0164677832396928,0.0321015392916268,0.055483970788603
"GSM831256",0.100750443465574,0.029702312064537,0.0101280342607316,0.458142129183936,9.28427209420878e-05,0.0747008763920788,8.80826888132518e-05,0.0334866902143591,0.0026178091054972,0.0519127849272547,0.00337552171474083,0.04678969229239,0.0206128628747854,0.0130132020132621,0.154586716081098
"GSM831257",0.0338100821568124,9.04954753058023e-07,9.69157439779961e-07,0.444826994845413,6.56923872847821e-07,0.138456587560351,1.48870663798675e-06,0.0355584833900124,0.00613779249069793,0.105137384350352,3.30895545307405e-06,0.0682396154634735,0.0312432597363948,0.0382865316398521,0.0982959396684849
"GSM831258",0.185229544643551,1.28910204430117e-06,6.99392072440434e-05,0.315398594951702,2.56447016578903e-06,0.0969252218382851,4.1780546142291e-06,0.0179606502317394,0.00125728015157508,0.0211604486687972,5.14148898047791e-05,0.0575820305723653,0.025420977023173,0.0488437422769809,0.230092123917957
"GSM831259",0.0643452458517223,0.173839982710985,5.17228664574777e-06,0.311250032675368,0.0106836855411839,0.103430087358232,0.00108322092374134,0.109268542715869,0.000112858728885843,0.0657181871314455,0.00115002005892451,0.0588304624708471,0.00955537569570975,0.0319316890816564,0.0587954367687832
"GSM831260",0.0463756432134402,0.0787361713371128,5.77056817280555e-07,0.517053167653579,4.17017842097113e-07,0.0950571294303477,0.000885096848247741,3.95812109125718e-06,0.000958094400257599,0.00234548873280083,3.8024362239393e-07,0.0667273311123516,0.0268633346185102,0.0435220482346593,0.12147116197932
"GSM831261",0.0399227660785823,2.50668938092328e-06,1.52928728606538e-06,0.367725813229815,7.40835613930434e-07,0.133342191302377,1.74091525038837e-06,0.0561020223710822,0.0531872994777957,0.0670757583271928,3.70225166583802e-07,0.0906620684258758,0.0451455425301272,0.0629869457688649,0.0838427045355896
"GSM831262",0.235139892227158,0.020898011877133,2.17354644392314e-05,0.317705918929317,8.4857688374402e-06,0.0512072709914242,0.0480765149209358,0.0514415263563678,0.00698243912026402,0.0584186566730978,0.0240719630241095,0.0598122319964853,0.0394106870108218,0.0449462839258035,0.0418583817138062
"GSM831263",0.0709849728826991,0.0136351281237761,2.456613477905e-06,0.292390192610747,1.77375803174807e-06,0.149158352661692,0.0108580465055793,0.260469756097726,0.0114392825836571,0.0146223224645992,1.17032789250117e-06,0.0947998177365467,0.0360690370033336,0.0455666217768674,1.06885337482275e-06
"GSM831264",0.131074980517535,9.40722971517027e-06,6.37336940401476e-06,0.311727427681731,7.07838893753474e-06,0.106017365847223,8.28899330331021e-05,0.161785408690066,0.00106949480489089,0.0389547846597393,1.00410841784287e-05,0.0910573618866492,0.0251220945366265,0.0756520747169173,0.0574232166533538
